learning_rate	feature_fraction	num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	num_iterations	iter
0.10398895709191	0.491724950426956	12	7474	0.906175855344902	19			147.784	-0.000254584496250163		0.0609999999996944	infill_ei	0.46100000000024	0.000633353745739744	0.90522349027244	111	35
0.0848288305515472	0.419914950580164	16	8000	0.905558404572589	26			152.915999999999	-0.00184502803070632		0.0319999999992433	infill_ei	0.421000000000277	0.00111233911543477	0.907997226971406	143	42
0.010773436195236	0.126661678346832	8	5459	0.905219673630597	9			475.972000000001	-0.000902199594648561		0.0370000000002619	infill_ei	0.421999999999571	0.00204631933859034	0.905283375741752	1605	25
0.0788619778508617	0.546537561658759	8	7558	0.905190543591212	20			164.262	-8.46390959322551e-05		0.106999999999971	infill_ei	0.453999999999724	0.000380810120689517	0.906014375918655	184	36
0.054188997545238	0.381972452045933	2048	1958	0.905144404585729	28			147.856000000002	-0.000201008093141039		0.0370000000002619	infill_ei	0.477000000000771	0.00213761721006652	0.904175757695303	82	44
0.0918643512139952	0.467340657885099	10	7125	0.905117090858024	7			132.868	-0.00043337872186947		0.0489999999999782	infill_ei	0.407000000000153	0.00154841552079086	0.904338706311835	99	23
0.0282068141400731	0.207926046702669	9	6108	0.905041821398995	27			236.673999999999	-0.000621577695250625		0.0319999999992433	infill_ei	0.492000000000189	0.00130241038946634	0.906368491483289	558	43
0.0103546324523212	0.816757369106076	9	5072	0.904981821191618	10			278.363	-0.000665334681826556		0.0259999999998399	infill_ei	0.432999999999993	0.00151595526401817	0.905337155356432	1017	26
0.151256159517484	0.282386496131802	8	7278	0.904774404256213	8			96.6350000000002	-0.000425982657554657		0.0309999999999491	infill_ei	0.44800000000032	0.00155628444348289	0.904678286688739	72	24
0.0177121071166169	0.873776305003085	1976	1595	0.904750930282999	0			206.013				initdesign				249	16
0.010028547038544	0.740817732919204	1394	1778	0.904677772550645	6			264.096	-0.000504311209737528		0.0309999999999491	infill_ei	0.416000000000167	0.00164005326556935	0.904425265504289	391	22
0.119864655938575	0.406373265160222	1728	7563	0.904568719209621	0			130.187				initdesign				86	11
0.124224439952541	0.52373721926541	8	7452	0.904541001041488	21			141.547000000001	-0.000222915447058847		0.0409999999992579	infill_ei	0.476000000000568	0.000403202986776006	0.906287682369836	120	37
0.020940534550787	0.353695918873351	8	5615	0.904471208965265	24			278.123000000001	-0.000767228290160899		0.0349999999998545	infill_ei	0.453000000001339	0.00129256544665823	0.90661897641762	537	40
0.0100288976869857	0.706622800984031	9	6306	0.904160696620867	13			336.658	-0.000332054300867039		0.0429999999996653	infill_ei	0.682999999999993	0.00156416965859578	0.904509171463833	1259	29
0.0672668140750314	0.636063030461341	1638	5160	0.904092991208008	0			102.538				initdesign				104	3
0.111929706901603	0.62987409030994	298	7925	0.90404362690833	3			82.5960000000005	-0.00082834229347665		0.0290000000004511	infill_ei	0.430999999999585	0.00257661423137707	0.904323559387956	59	19
0.092545303227926	0.399841366025202	8	5562	0.903999512030611	14			140.056	-0.000857872077401394		0.024000000000342	infill_ei	0.454999999999927	0.000807131605024124	0.906007116928893	148	30
